State,Agency,AgencyID,OrgType,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount
WA,King County Department of Transportation - Metro Transit Division (King County Metro),0001,B,MB,PT,1071,"724,856",829,0,"33,060","758,745","7,597",794.9 ,0.8 ,0.0 ,24.5 ,820.2 ,6.4 
WA,King County Department of Transportation - Metro Transit Division (King County Metro),0001,B,TB,FT,120,"429,067","179,751","102,916","60,550","772,284","31,685",266.5 ,109.4 ,61.7 ,34.4 ,472.0 ,18.9 
WA,King County Department of Transportation - Metro Transit Division (King County Metro),0001,B,TB,PT,120,"111,526",163,0,"5,399","117,088","1,342",122.3 ,0.2 ,0.0 ,4.0 ,126.5 ,1.1 
WA,King County Department of Transportation - Metro Transit Division (King County Metro),0001,B,VP,FT,1045,994,0,0,"67,821","68,815","2,644",0.6 ,0.0 ,0.0 ,38.6 ,39.2 ,1.6 
WA,King County Department of Transportation - Metro Transit Division (King County Metro),0001,B,VP,PT,1045,258,0,0,"6,047","6,305",112,0.3 ,0.0 ,0.0 ,4.5 ,4.8 ,0.1 
WA,Kitsap Transit,0020,B,DR,FT,86,"112,242","26,411","2,735","6,291","147,679",311,63.0 ,14.7 ,1.5 ,3.4 ,82.6 ,0.2 
WA,Kitsap Transit,0020,B,DR,PT,86,"75,759",0,0,329,"76,088",0,47.0 ,0.0 ,0.0 ,0.3 ,47.3 ,0.0 
WA,Kitsap Transit,0020,B,MB,FT,84,"183,953","53,841","17,341","56,521","311,656","2,794",101.0 ,29.9 ,9.8 ,30.7 ,171.4 ,1.5 
WA,Kitsap Transit,0020,B,MB,PT,84,"65,659",0,0,"2,957","68,616",0,89.0 ,0.0 ,0.0 ,3.1 ,92.1 ,0.0 
WA,Kitsap Transit,0020,B,VP,FT,119,"5,360","5,541",790,"4,394","16,085",217,3.0 ,3.1 ,0.4 ,2.4 ,8.9 ,0.1 
WA,Kitsap Transit,0020,B,VP,PT,119,872,0,0,230,"1,102",0,1.0 ,0.0 ,0.0 ,0.2 ,1.2 ,0.0 
WA,Link Transit,0043,B,DR,FT,15,"23,187","4,624","1,889","8,100","37,800",0,13.9 ,2.5 ,1.0 ,4.5 ,21.9 ,0.0 
WA,Link Transit,0043,B,DR,PT,15,615,0,0,253,868,0,1.5 ,0.0 ,0.0 ,0.3 ,1.8 ,0.0 
WA,Link Transit,0043,B,MB,FT,29,"79,839","16,232","5,983","25,651","127,705",0,44.0 ,8.9 ,3.0 ,14.5 ,70.4 ,0.0 
WA,Link Transit,0043,B,MB,PT,29,"16,451",0,0,803,"17,254",0,14.5 ,0.0 ,0.0 ,0.8 ,15.3 ,0.0 
WA,Pierce County Transportation Benefit Area Authority (Pierce Transit),0003,B,DR,FT,32,"72,951","10,364","1,134","11,112","95,561",0,41.0 ,6.0 ,1.0 ,6.0 ,54.0 ,0.0 
