State,Agency,AgencyID,OrgType,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount,
CA,Fresno Area Express(FAX),9027,City,MB,PT,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,,Total,,91,"436,654.0","98,028.0","10,874.0","51,898.0","597,454.0",0.0,243.0,57.0,5.0,26.0,331.0,0.0,
CA,Gold Coast Transit(GCT),9035,Agency,MB,FT,38,"183,988.0","35,138.0","1,965.0","26,114.0","247,205.0",0.0,93.0,20.0,1.0,15.0,129.0,0.0,
CA,Gold Coast Transit(GCT),9035,Agency,MB,PT,38,"17,343.0","1,950.0",0.0,0.0,"19,293.0",0.0,11.0,2.0,0.0,0.0,13.0,0.0,
,,,,Total,,38,"201,331.0","37,088.0","1,965.0","26,114.0","266,498.0",0.0,104.0,22.0,1.0,15.0,142.0,0.0,
CA,Golden Empire Transit District(GET),9004,Agency,DR,FT,16,"16,740.0","2,085.0",0.0,"3,621.0","22,446.0",0.0,7.0,1.0,0.0,2.0,10.0,0.0,
CA,Golden Empire Transit District(GET),9004,Agency,DR,PT,16,"34,631.0",0.0,0.0,0.0,"34,631.0",0.0,18.0,0.0,0.0,0.0,18.0,0.0,
CA,Golden Empire Transit District(GET),9004,Agency,MB,FT,70,"185,471.0","98,666.0","12,952.0","46,785.0","343,874.0",0.0,74.0,52.0,5.0,26.0,157.0,0.0,
CA,Golden Empire Transit District(GET),9004,Agency,MB,PT,70,"256,765.0",0.0,0.0,"9,534.0","266,299.0",0.0,100.0,0.0,0.0,6.0,106.0,0.0,
,,,,Total,,86,"493,607.0","100,751.0","12,952.0","59,940.0","667,250.0",0.0,199.0,53.0,5.0,34.0,291.0,0.0,
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,Agency,FB,FT,5,"90,765.0","18,384.0","13,582.0","65,926.0","188,657.0","1,863.0",50.4,9.7,7.5,36.6,104.2,1.0,
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,Agency,FB,PT,5,"37,389.0",0.0,"2,062.0",0.0,"39,451.0",0.0,76.3,0.0,4.2,0.0,80.5,0.0,
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,Agency,MB,FT,167,"759,563.0","121,166.0","7,422.0","138,583.0","1,026,734.0","2,212.0",422.0,67.3,4.1,77.0,570.4,1.2,
CA,"Golden Gate Bridge, Highway and Transportation District(GGBHTD)",9016,Agency,MB,PT,167,"13,221.0",0.0,0.0,0.0,"13,221.0",0.0,10.0,0.0,0.0,0.0,10.0,0.0,
,,,,Total,,172,"900,938.0","139,550.0","23,066.0","204,509.0","1,268,063.0","4,075.0",558.7,77.0,15.8,113.6,765.1,2.2,
CA,Kings County Area Public Transit Agency(KART),9200,Agency,VP,FT,498,"12,129.0","8,663.0",0.0,"22,795.0","43,587.0",0.0,7.0,5.0,0.0,13.0,25.0,0.0,
CA,Kings County Area Public Transit Agency(KART),9200,Agency,VP,PT,498,986.0,"2,690.0",0.0,0.0,"3,676.0",0.0,1.0,3.0,0.0,0.0,4.0,0.0,
,,,,Total,,498,"13,115.0","11,353.0",0.0,"22,795.0","47,263.0",0.0,8.0,8.0,0.0,13.0,29.0,0.0,
CA,Laguna Beach Municipal Transit(CLB),9119,City,MB,FT,23,"5,850.0","5,840.0",0.0,"1,955.0","13,645.0",0.0,3.0,4.0,0.0,1.0,8.0,0.0,
CA,Laguna Beach Municipal Transit(CLB),9119,City,MB,PT,23,"25,321.0","2,310.0",0.0,"3,252.0","30,883.0",0.0,81.0,6.0,0.0,17.0,104.0,0.0,
,,,,Total,,23,"31,171.0","8,150.0",0.0,"5,207.0","44,528.0",0.0,84.0,10.0,0.0,18.0,112.0,0.0,
CA,Long Beach Transit(LBT),9023,Other Public,MB,FT,183,"905,249.0","220,342.0","52,795.0","124,694.0","1,303,080.0",0.0,523.0,123.0,29.0,70.0,745.0,0.0,
CA,Long Beach Transit(LBT),9023,Other Public,MB,PT,183,"11,204.0",0.0,0.0,"7,024.0","18,228.0",0.0,11.0,0.0,0.0,6.0,17.0,0.0,
,,,,Total,,183,"916,453.0","220,342.0","52,795.0","131,718.0","1,321,308.0",0.0,534.0,123.0,29.0,76.0,762.0,0.0,
CA,Los Angeles County Metropolitan Transportation Authority dba: Metro(LACMTA),9154,Agency,HR,FT,70,"325,697.0","257,738.0","291,544.0","118,188.0","993,167.0",0.0,154.0,132.0,153.0,63.0,502.0,0.0,
