AgencyID,Mode_Cd,Service_Cd,Kwh_Propulsion,Kwh_Charge_Batteries,Gl_Diesel_Num,Gl_Gas_Num,Gl_Lpg_Num,Gl_Lng_Num,Gl_Meth_Num,Gl_Eth_Num,Gl_Cng_Num,Gl_Bunker_Num,Gl_Kero_Num,Gl_Grain_Num,Other_Fuel_Num,Gl_Biodiesel_Num,Other_Energy_Desc,Total
8016,DR,PT,             ,             ,"7,632 ","4,249 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"11,881 "
8016,MB,PT,             ,             ,"68,684 ","38,239 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"106,923 "
8019,DR,PT,             ,0 ,"54,184 ","1,228 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,                                                                                                    ,"55,412 "
8019,MB,PT,             ,0 ,"51,910 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,                                                                                                    ,"51,910 "
8020,DR,DO,             ,             ,             ,"25,715 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"25,715 "
8020,MB,DO,             ,             ,"8,110 ","47,755 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"55,865 "
8025,DR,DO,             ,             ,"1,553 ","5,874 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"7,427 "
8025,MB,DO,             ,             ,"17,183 ",750 ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"17,933 "
8028,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
8028,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9001,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9001,MB,DO,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"986,659 ",                                                                                                    ,"986,659 "
9002,DR,PT,             ,             ,"738,070 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"738,070 "
