AgencyID,  mode_cd,  service_cd, kwh_propulsion,  kwh_charge_batteries,  gl_diesel_num, gl_gas_num, ec.gl_lpg_num, ec.gl_lng_num, ec.gl_meth_num, gl_eth_num,  gl_cng_num,  gl_bunker_num,  gl_kero_num, gl_grain_num,  other_fuel_num,  gl_biodiesel_num, other_energy_desc,Total
5051,MB,DO,0,0,"409,747","1,354",0,0,0,0,0,0,0,0,0,0,,"411,101"
5052,DR,DO,0,0,"17,373",0,0,0,0,0,0,0,0,0,0,"4,760",,"22,133"
5052,MB,DO,0,0,"313,780",0,0,0,0,0,0,0,0,0,0,"114,231",,"428,011"
5053,DR,DO,0,0,"13,499",0,0,0,0,0,0,0,0,0,0,0,,"13,499"
5053,MB,DO,0,0,"41,811","1,629",0,0,0,0,0,0,0,0,0,0,,"43,440"
5054,DR,DO,0,0,"40,160",0,0,0,0,0,0,0,0,0,0,0,,"40,160"
5054,MB,DO,0,0,"141,870",0,0,0,0,0,0,0,0,0,0,"129,422",,"271,292"
5056,MB,DO,0,0,"519,228","5,207",0,0,0,0,0,0,0,0,0,0,,"524,435"
5057,DR,DO,0,0,"2,364",75,0,0,0,0,"1,861",0,0,0,0,0,,"4,300"
5057,MB,DO,0,0,"293,131","10,139",0,0,0,0,"230,739",0,0,0,0,0,,"534,009"
5057,VP,DO,0,0,0,"2,538",0,0,0,0,0,0,0,0,0,0,,"2,538"
5058,DR,DO,0,0,"45,872","2,717",0,0,0,0,0,0,0,0,0,0,,"48,589"
5058,MB,DO,0,0,"284,229",0,0,0,0,0,0,0,0,0,0,0,,"284,229"
5059,DR,DO,0,0,"22,199","2,480",0,0,0,0,0,0,0,0,0,"17,442",,"42,121"
5059,MB,DO,0,0,"94,077",0,0,0,0,0,"211,762",0,0,0,0,"73,917",,"379,756"
5060,DR,DO,0,0,0,"19,989",0,0,0,0,0,0,0,0,0,0,,"19,989"
5060,MB,DO,0,0,"748,123",0,0,0,0,0,0,0,0,0,0,0,,"748,123"
5061,DR,DO,0,0,"1,248","14,135",0,0,0,0,0,0,0,0,0,0,,"15,383"
5061,MB,DO,0,0,"195,392",0,0,0,0,0,0,0,0,0,0,0,,"195,392"
5066,HR,DO,"408,603,227",0,0,0,0,0,0,0,0,0,0,0,0,0,,"408,603,227"
5066,MB,DO,0,0,"24,515,000",0,0,0,0,0,0,0,0,0,0,0,,"24,515,000"
5088,MB,DO,0,0,"124,695",0,0,0,0,0,0,0,0,0,0,0,,"124,695"
5091,MB,DO,0,0,"133,273",0,0,0,0,0,0,0,0,0,0,0,,"133,273"
5096,DR,DO,0,0,"20,339",0,0,0,0,0,0,0,0,0,0,0,,"20,339"
5096,MB,DO,0,0,"198,945",0,0,0,0,0,0,0,0,0,0,0,,"198,945"
5099,MB,DO,0,0,"125,057",0,0,0,0,0,0,0,0,0,0,0,,"125,057"
5103,DR,DO,0,0,0,"10,743",0,0,0,0,0,0,0,0,0,0,,"10,743"
5104,CR,DO,"17,269,000",0,0,0,0,0,0,0,0,0,0,0,0,0,,"17,269,000"
5108,MB,DO,0,0,"95,373",0,0,0,0,0,0,0,0,0,0,0,,"95,373"
5109,MB,DO,0,0,"73,536",0,0,0,0,0,0,0,0,0,0,0,,"73,536"
5110,MB,DO,0,0,"121,972",0,0,0,0,0,0,0,0,0,0,"135,642",,"257,614"
5113,DR,DO,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,316",,"13,316"
5113,MB,DO,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,322,398",,"5,322,398"
5113,VP,DO,0,0,0,"707,645",0,0,0,0,0,0,0,0,0,0,,"707,645"
5117,DR,DO,0,0,"295,095",0,0,0,0,0,0,0,0,0,0,0,,"295,095"
5117,MB,DO,0,0,"123,576",0,0,0,0,0,"120,939",0,0,0,0,0,,"244,515"
5118,CR,DO,"100,576,936",0,"24,125,023",0,0,0,0,0,0,0,0,0,0,0,,"124,701,959"
5119,MB,DO,0,0,"4,933,659",0,0,0,0,0,0,0,0,0,0,0,,"4,933,659"
5131,DR,DO,0,0,"2,425","46,000",0,0,0,0,"1,208",0,0,0,0,0,,"49,633"
5132,DR,DO,0,0,0,"59,584",0,0,0,0,0,0,0,0,0,0,,"59,584"
5132,MB,DO,0,0,0,"8,640",0,0,0,0,0,0,0,0,0,0,,"8,640"
5141,AG,DO,"4,443,200",0,0,0,0,0,0,0,0,0,0,0,0,0,,"4,443,200"
5145,DR,DO,0,0,0,"20,284",0,0,0,0,0,0,0,0,0,0,,"20,284"
5148,DR,DO,0,0,0,0,0,0,0,0,"146,478",0,0,0,0,0,,"146,478"
5148,MB,DO,0,0,"32,731",0,0,0,0,0,"51,160",0,0,0,0,0,,"83,891"
5157,DR,DO,0,0,"3,946",648,0,0,0,0,0,0,0,0,0,0,,"4,594"
